scientific name,vernacular name,link
Pseudonapomyza spinosa,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57100
Pseudonapomyza zeae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57101
Ptochomyza asparagi,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57102
Ptochomyza asparagivora,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57103
Tropicomyia atomella,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57104
Tropicomyia flacourtiae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57105
Tropicomyia polyphaga,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57106
Tropicomyia polyphyta,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57107
Tropicomyia theae,Tea leaf miner,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57108
Tropicomyia vigneae,,https://agromyzidae.linnaeus.naturalis.nl/linnaeus_ng/app/views/species/taxon.php?id=57109
